PersonNumber;FirstName;LastName;FullName;PartyAbbreviation;PartyName;ParlGroupAbbreviation;ParlGroupName;CantonAbbreviation;CantonName;CouncilAbbreviation;CouncilName;Active;DetailLoaded;DateOfBirth;MaritalStatus;NumberOfChildren;BirthPlaceCity;BirthPlaceCanton;Citizenship;Nationality;DateJoining;DateLeaving;DateElection;MilitaryRank;LinksRechts;KonservativLiberal;LiberaleWirtschaft;InnovativerStandort;UnabhaengigeStromversorgung;StaerkeResilienz;SchlankerStaat;HasAnalysis
4154;Jean-Luc;Addor;Jean-Luc Addor;SVP;Schweizerische Volkspartei;V;Fraktion der Schweizerischen Volkspartei;VS;Wallis;NR;Nationalrat;1;1;1964-04-22;verheiratet;2;Lausanne;VD;Sainte-Croix (VD),Savièse (VS);Schweiz,Italien;2023-12-04;;2023-10-22;Hauptmann;0.80;-0.80;0.60;0.30;0.60;0.90;0.70;1
4049;Matthias;Aebischer;Matthias Aebischer;SP;Sozialdemokratische Partei der Schweiz;S;Sozialdemokratische Fraktion;BE;Bern;NR;Nationalrat;0;0;1972-03-17;;;Schwarzenburg;BE;Guggisberg (BE);Schweiz;2023-12-04;2025-03-03;2023-10-22;Soldat;-0.70;0.40;0.20;0.60;0.70;0.40;0.10;1
10803;Cyril;Aellen;Cyril Aellen;FDP-Liberale;FDP.Die Liberalen;RL;FDP-Liberale Fraktion;GE;Genf;NR;Nationalrat;1;0;1972-02-29;;;Genf;GE;Genf (GE);Schweiz;2023-12-04;;2023-10-22;-;0.40;0.60;0.80;0.70;0.60;0.50;0.70;1
4053;Thomas;Aeschi;Thomas Aeschi;SVP;Schweizerische Volkspartei;V;Fraktion der Schweizerischen Volkspartei;ZG;Zug;NR;Nationalrat;1;0;1979-01-13;;;Zug;ZG;Basel (BS),Baar (ZG),Himmelried (SO);Schweiz;2023-12-04;;2023-10-22;Oberleutnant;0.90;-0.70;0.80;0.60;0.70;0.80;0.90;1
10812;Islam;Alijaj;Islam Alijaj;SP;Sozialdemokratische Partei der Schweiz;S;Sozialdemokratische Fraktion;ZH;Zürich;NR;Nationalrat;1;0;1986-06-18;;;Hereq;--;Zürich (ZH);;2023-12-04;;2023-10-22;-;-0.70;0.60;0.30;0.70;0.30;0.20;0.10;1
4090;Céline;Amaudruz;Céline Amaudruz;SVP;Schweizerische Volkspartei;V;Fraktion der Schweizerischen Volkspartei;GE;Genf;NR;Nationalrat;1;0;1979-03-15;;;Genève;GE;Lutry (VD);Schweiz;2023-12-04;;2023-10-22;-;0.80;-0.70;0.70;0.40;0.60;0.90;0.80;1
4320;Emmanuel;Amoos;Emmanuel Amoos;SP;Sozialdemokratische Partei der Schweiz;S;Sozialdemokratische Fraktion;VS;Wallis;NR;Nationalrat;1;0;1980-07-31;verheiratet;2;Sierre;VS;Venthône (VS);Schweiz;2023-12-04;;2023-10-22;Soldat;-0.80;0.60;0.20;0.50;0.70;0.30;0.10;1
4245;Gerhard;Andrey;Gerhard Andrey;GRÜNE;GRÜNE Schweiz;G;Grüne Fraktion;FR;Freiburg;NR;Nationalrat;1;0;1976-01-21;verheiratet;2;Freiburg;--;Val-de-Charmey (Cerniat (FR)) (FR);Schweiz;2023-12-04;;2023-10-22;;-0.70;0.60;0.30;0.80;0.80;0.40;0.20;1
4184;Sibel;Arslan;Sibel Arslan;GRÜNE;GRÜNE Schweiz;G;Grüne Fraktion;BS;Basel-Stadt;NR;Nationalrat;1;0;1980-06-23;;;Erzincan;;Basel (BS);Schweiz,Türkei;2023-12-04;;2023-10-22;;-0.80;0.80;0.20;0.40;0.60;0.10;0.10;1
4246;Christine;Badertscher;Christine Badertscher;GRÜNE;GRÜNE Schweiz;G;Grüne Fraktion;BE;Bern;NR;Nationalrat;1;0;1982-01-11;;;Sumiswald;BE;Lauperswil (BE);Schweiz;2023-12-04;;2023-10-22;;-0.70;0.60;0.30;0.50;0.80;0.20;0.10;1
